0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,21,22,23,24,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,29,30,31,32,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,37,38,39,40,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,45,46,47,48,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,17,18,19,20,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,25,26,27,28,0,0,0,17,18,19,20,0,0,0,0,0,
0,0,0,0,33,34,35,36,0,0,0,25,26,27,28,0,0,0,0,0,
0,0,0,0,41,42,43,44,0,0,0,33,34,35,36,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,41,42,43,44,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
